INFO 2025-09-11 15:55:46,905 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:55:46,998 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:57:13,537 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:57:13,616 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:58:09,977 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:58:10,062 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:58:14,816 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:58:14,835 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:58:36,133 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:58:36,171 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:58:43,811 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:58:44,475 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 15:58:44,829 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:59:54,202 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:00:37,025 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:00:51,089 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:01:03,752 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:01:14,832 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:01:19,913 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:04:16,362 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:04:50,178 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:04:58,960 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:05:13,183 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:05:24,408 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:06:36,841 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:06:41,561 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:06:56,462 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:07:12,553 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:07:24,751 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 16:07:25,507 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 16:07:25,822 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 16:10:34,772 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:10:34,776 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:10:34,781 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
INFO 2025-09-11 16:10:34,785 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
